Name,Level,RequiredTotalExp
Lv01,1,0
Lv02,2,80
Lv03,3,310
Lv04,4,750
Lv05,5,1440
Lv06,6,2410
Lv07,7,3710
Lv08,8,5310
Lv09,9,7310
Lv10,10,9710
Lv11,11,12510
Lv12,12,15810
Lv13,13,19610
Lv14,14,23910
Lv15,15,28710
Lv16,16,34010
Lv17,17,39910
Lv18,18,46410
Lv19,19,53510
Lv20,20,61210
Lv21,21,69510
Lv22,22,78510
Lv23,23,88110
Lv24,24,98110
Lv25,25,109110
Lv26,26,121110
Lv27,27,133110
Lv28,28,146110
Lv29,29,160110
Lv30,30,175110
Lv31,31,191110
Lv32,32,207110
Lv33,33,224110
Lv34,34,242110
Lv35,35,261110
Lv36,36,281110
Lv37,37,302110
Lv38,38,324110
Lv39,39,346110
Lv40,40,369110
Lv41,41,393110
Lv42,42,418110
Lv43,43,444110
Lv44,44,471110
Lv45,45,499110
Lv46,46,528110
Lv47,47,558110
Lv48,48,589110
Lv49,49,621110
Lv50,50,654110
