Name,DropTableId,ItemId,Chance,MinCount,MaxCount
Field_Lv01_HPotion_Low,Drop_Field_Lv01,HPotion_Low,0.15,1,2
Field_Lv01_MPotion_Low,Drop_Field_Lv01,MPotion_Low,0.1,1,2
Field_Lv01_FireRing_Low,Drop_Field_Lv01,FireRing_Low,0.02,1,1
Field_Lv01_FirePandant_Low,Drop_Field_Lv01,FirePandant_Low,0.02,1,1
Field_Lv01_FireEarring_Low,Drop_Field_Lv01,FireEarring_Low,0.02,1,1
Field_Lv01_WaterRing_Low,Drop_Field_Lv01,WaterRing_Low,0.02,1,1
Field_Lv01_WaterPandant_Low,Drop_Field_Lv01,WaterPandant_Low,0.02,1,1
Field_Lv01_WaterEarring_Low,Drop_Field_Lv01,WaterEarring_Low,0.02,1,1
Field_Lv01_EarthRing_Low,Drop_Field_Lv01,EarthRing_Low,0.02,1,1
Field_Lv01_EarthPandant_Low,Drop_Field_Lv01,EarthPandant_Low,0.02,1,1
Field_Lv01_EarthEarring_Low,Drop_Field_Lv01,EarthEarring_Low,0.02,1,1
Field_Lv01_WindRing_Low,Drop_Field_Lv01,WindRing_Low,0.02,1,1
Field_Lv01_WindPandant_Low,Drop_Field_Lv01,WindPandant_Low,0.02,1,1
Field_Lv01_WindEarring_Low,Drop_Field_Lv01,WindEarring_Low,0.02,1,1
Field_Lv20_HPotion_Mid,Drop_Field_Lv20,HPotion_Mid,0.15,1,2
Field_Lv20_MPotion_Mid,Drop_Field_Lv20,MPotion_Mid,0.1,1,2
Field_Lv20_FireRing_Mid,Drop_Field_Lv20,FireRing_Mid,0.02,1,1
Field_Lv20_FirePandant_Mid,Drop_Field_Lv20,FirePandant_Mid,0.02,1,1
Field_Lv20_FireEarring_Mid,Drop_Field_Lv20,FireEarring_Mid,0.02,1,1
Field_Lv20_WaterRing_Mid,Drop_Field_Lv20,WaterRing_Mid,0.02,1,1
Field_Lv20_WaterPandant_Mid,Drop_Field_Lv20,WaterPandant_Mid,0.02,1,1
Field_Lv20_WaterEarring_Mid,Drop_Field_Lv20,WaterEarring_Mid,0.02,1,1
Field_Lv20_EarthRing_Mid,Drop_Field_Lv20,EarthRing_Mid,0.02,1,1
Field_Lv20_EarthPandant_Mid,Drop_Field_Lv20,EarthPandant_Mid,0.02,1,1
Field_Lv20_EarthEarring_Mid,Drop_Field_Lv20,EarthEarring_Mid,0.02,1,1
Field_Lv20_WindRing_Mid,Drop_Field_Lv20,WindRing_Mid,0.02,1,1
Field_Lv20_WindPandant_Mid,Drop_Field_Lv20,WindPandant_Mid,0.02,1,1
Field_Lv20_WindEarring_Mid,Drop_Field_Lv20,WindEarring_Mid,0.02,1,1
Field_Lv40_HPotion_High,Drop_Field_Lv40,HPotion_High,0.15,1,2
Field_Lv40_MPotion_High,Drop_Field_Lv40,MPotion_High,0.1,1,2
Field_Lv40_FireRing_High,Drop_Field_Lv40,FireRing_High,0.02,1,1
Field_Lv40_FirePandant_High,Drop_Field_Lv40,FirePandant_High,0.02,1,1
Field_Lv40_FireEarring_High,Drop_Field_Lv40,FireEarring_High,0.02,1,1
Field_Lv40_WaterRing_High,Drop_Field_Lv40,WaterRing_High,0.02,1,1
Field_Lv40_WaterPandant_High,Drop_Field_Lv40,WaterPandant_High,0.02,1,1
Field_Lv40_WaterEarring_High,Drop_Field_Lv40,WaterEarring_High,0.02,1,1
Field_Lv40_EarthRing_High,Drop_Field_Lv40,EarthRing_High,0.02,1,1
Field_Lv40_EarthPandant_High,Drop_Field_Lv40,EarthPandant_High,0.02,1,1
Field_Lv40_EarthEarring_High,Drop_Field_Lv40,EarthEarring_High,0.02,1,1
Field_Lv40_WindRing_High,Drop_Field_Lv40,WindRing_High,0.02,1,1
Field_Lv40_WindPandant_High,Drop_Field_Lv40,WindPandant_High,0.02,1,1
Field_Lv40_WindEarring_High,Drop_Field_Lv40,WindEarring_High,0.02,1,1
Boss_01_DarkRing,Drop_Boss_01,DarkRing,0.5,1,1
Boss_01_DarkPandant,Drop_Boss_01,DarkPandant,0.3,1,1
Boss_02_DarkEarring,Drop_Boss_02,DarkEarring,0.3,1,1
