Name,Level,SuccessRate,DowngradeChanceOnFail,MinDowngradeTiers,MaxDowngradeTiers,Cost
Lv01,1,0.95,0.0,0,0,100
Lv02,2,0.9,0.0,0,0,350
Lv03,3,0.83,0.0,0,0,720
Lv04,4,0.75,0.0,0,0,1200
Lv05,5,0.65,0.0,0,0,1800
Lv06,6,0.55,0.0,0,0,2500
Lv07,7,0.7,0.2,1,1,3300
Lv08,8,0.62,0.25,1,1,4200
Lv09,9,0.54,0.3,1,1,5200
Lv10,10,0.46,0.35,1,1,6300
Lv11,11,0.38,0.4,1,1,7500
Lv12,12,0.3,0.45,1,1,8800
Lv13,13,0.7,0.2,1,3,10100
Lv14,14,0.62,0.25,1,3,11600
Lv15,15,0.54,0.3,1,3,13100
Lv16,16,0.46,0.35,1,3,14700
Lv17,17,0.38,0.4,1,3,16400
Lv18,18,0.3,0.45,1,3,18200
