Name,DisplayName,Description,ItemType,Icon,bStackable,MaxStackSize,bCanDiscard,SellPrice,RequiredLevel,Rarity,InitialOptionRarity,OptionPoolId,SetId
HPotion_Low,하급 체력포션,"체력을 회복시켜주는 포션, 맛은 없다.",Item.Type.Consumable,/Engine/EditorResources/Bad.Bad,True,100,True,50,0,Item.Rarity.Common,,None,None
HPotion_Mid,중급 체력포션,"체력을 회복시켜주는 고급포션, 여전히 맛은 없다.",Item.Type.Consumable,None,True,100,True,150,15,Item.Rarity.Common,,None,None
HPotion_High,상급 체력포션,"체력을 회복시켜주는 포션, 맛있다.",Item.Type.Consumable,None,True,100,True,300,25,Item.Rarity.Rare,,None,None
MPotion_Low,하급 마나포션,별 맛이다.,Item.Type.Consumable,None,True,100,True,55,0,Item.Rarity.Common,,None,None
MPotion_Mid,중급 마나포션,별 맛이 다난다.,Item.Type.Consumable,None,True,100,True,160,15,Item.Rarity.Common,,None,None
MPotion_High,고급 마나포션,맛이 별로다.,Item.Type.Consumable,None,True,100,True,320,25,Item.Rarity.Rare,,None,None
InvExpand,인벤토리 확장권,가방을 넓혀주는 티켓,Item.Type.Consumable,/Engine/EngineResources/AICON-Green.AICON-Green,True,10000,False,200,0,Item.Rarity.Legendary,,None,None
ExpPotion_Low,하급 경험치포션,경험치를 500만큼 올려주는 포션,Item.Type.Consumable,None,True,100,True,0,0,Item.Rarity.Common,,None,None
ExpPotion_Mid,중급 경험치포션,경험치를 5000만큼 올려주는 포션,Item.Type.Consumable,None,True,100,True,0,0,Item.Rarity.Epic,,None,None
LevelTicket_Low,하급 경험치티켓,"레벨업을 시켜주는 티켓, 30레벨 이상일 시 29레벨에서 레벨업하는데 필요한 경험치를 준다.",Item.Type.Consumable,None,True,10,True,0,0,Item.Rarity.Epic,,None,None
LevelTicket_Mid,중급 경험치티켓,"레벨업을 시켜주는 티켓, 40레벨 이상일 시 39레벨에서 레벨업에 필요한 경험치를 준다.",Item.Type.Consumable,None,True,5,True,0,0,Item.Rarity.Legendary,,None,None
Quest_KimHeejinRing,희진이반지,우엥 내 반지,Item.Type.Quest,/Game/Art/Sprite/Character/Sprite_Black/Textures/Black_Jump/Black_Jump_North/Balck_Jump_North2.Balck_Jump_North2,False,1,False,0,0,,,None,None
FireRing_Low,하급 불의반지,힘이 강해지는 빨간 반지,Item.Type.Accessory,/Engine/EngineResources/AICON-Red.AICON-Red,False,1,True,600,2,Item.Rarity.Common,Item.Rarity.Common,Pool_Lv01,Fire_Set
FirePandant_Low,하급 불의팬던트,불의 기운 향 첨가,Item.Type.Accessory,/Engine/Tutorial/Mobile/TutorialAssets/android_Icon.android_Icon,False,1,True,600,2,Item.Rarity.Common,Item.Rarity.Common,Pool_Lv01,Fire_Set
