Name,ItemId,StatTag,Op,Value
FireRing_Low_Main,FireRing_Low,Stat.Offense.Damage.Physical,Added,12
FireRing_Low_Sub,FireRing_Low,Stat.Resource.Health.Max,Added,15
FirePandant_Low_Main,FirePandant_Low,Stat.Offense.Damage.Physical,Added,8
FirePandant_Low_Sub,FirePandant_Low,Stat.Resource.Health.Max,Added,45
FireEarring_Low_Main,FireEarring_Low,Stat.Offense.Damage.Physical,Added,10
FireEarring_Low_Sub,FireEarring_Low,Stat.Resource.Health.Max,Added,30
FireRing_Mid_Main,FireRing_Mid,Stat.Offense.Damage.Physical,Added,36
FireRing_Mid_Sub,FireRing_Mid,Stat.Resource.Health.Max,Added,45
FirePandant_Mid_Main,FirePandant_Mid,Stat.Offense.Damage.Physical,Added,24
FirePandant_Mid_Sub,FirePandant_Mid,Stat.Resource.Health.Max,Added,135
FireEarring_Mid_Main,FireEarring_Mid,Stat.Offense.Damage.Physical,Added,30
FireEarring_Mid_Sub,FireEarring_Mid,Stat.Resource.Health.Max,Added,90
FireRing_High_Main,FireRing_High,Stat.Offense.Damage.Physical,Added,54
FireRing_High_Sub,FireRing_High,Stat.Resource.Health.Max,Added,68
FirePandant_High_Main,FirePandant_High,Stat.Offense.Damage.Physical,Added,36
FirePandant_High_Sub,FirePandant_High,Stat.Resource.Health.Max,Added,202
FireEarring_High_Main,FireEarring_High,Stat.Offense.Damage.Physical,Added,45
FireEarring_High_Sub,FireEarring_High,Stat.Resource.Health.Max,Added,135
WaterRing_Low_Main,WaterRing_Low,Stat.Offense.Damage.Magical,Added,12
WaterRing_Low_Sub,WaterRing_Low,Stat.Resource.Mana.Max,Added,15
WaterPandant_Low_Main,WaterPandant_Low,Stat.Offense.Damage.Magical,Added,8
WaterPandant_Low_Sub,WaterPandant_Low,Stat.Resource.Mana.Max,Added,45
WaterEarring_Low_Main,WaterEarring_Low,Stat.Offense.Damage.Magical,Added,10
WaterEarring_Low_Sub,WaterEarring_Low,Stat.Resource.Mana.Max,Added,30
WaterRing_Mid_Main,WaterRing_Mid,Stat.Offense.Damage.Magical,Added,36
WaterRing_Mid_Sub,WaterRing_Mid,Stat.Resource.Mana.Max,Added,45
WaterPandant_Mid_Main,WaterPandant_Mid,Stat.Offense.Damage.Magical,Added,24
WaterPandant_Mid_Sub,WaterPandant_Mid,Stat.Resource.Mana.Max,Added,135
WaterEarring_Mid_Main,WaterEarring_Mid,Stat.Offense.Damage.Magical,Added,30
WaterEarring_Mid_Sub,WaterEarring_Mid,Stat.Resource.Mana.Max,Added,90
WaterRing_High_Main,WaterRing_High,Stat.Offense.Damage.Magical,Added,54
WaterRing_High_Sub,WaterRing_High,Stat.Resource.Mana.Max,Added,68
WaterPandant_High_Main,WaterPandant_High,Stat.Offense.Damage.Magical,Added,36
WaterPandant_High_Sub,WaterPandant_High,Stat.Resource.Mana.Max,Added,202
WaterEarring_High_Main,WaterEarring_High,Stat.Offense.Damage.Magical,Added,45
WaterEarring_High_Sub,WaterEarring_High,Stat.Resource.Mana.Max,Added,135
EarthRing_Low_Main,EarthRing_Low,Stat.Defense.Armor,Added,20
EarthRing_Low_Sub,EarthRing_Low,Stat.Resource.Health.Max,Added,15
EarthPandant_Low_Main,EarthPandant_Low,Stat.Defense.Armor,Added,14
EarthPandant_Low_Sub,EarthPandant_Low,Stat.Resource.Health.Max,Added,45
EarthEarring_Low_Main,EarthEarring_Low,Stat.Defense.Armor,Added,17
EarthEarring_Low_Sub,EarthEarring_Low,Stat.Resource.Health.Max,Added,30
EarthRing_Mid_Main,EarthRing_Mid,Stat.Defense.Armor,Added,61
EarthRing_Mid_Sub,EarthRing_Mid,Stat.Resource.Health.Max,Added,45
EarthPandant_Mid_Main,EarthPandant_Mid,Stat.Defense.Armor,Added,41
EarthPandant_Mid_Sub,EarthPandant_Mid,Stat.Resource.Health.Max,Added,135
EarthEarring_Mid_Main,EarthEarring_Mid,Stat.Defense.Armor,Added,51
EarthEarring_Mid_Sub,EarthEarring_Mid,Stat.Resource.Health.Max,Added,90
EarthRing_High_Main,EarthRing_High,Stat.Defense.Armor,Added,92
EarthRing_High_Sub,EarthRing_High,Stat.Resource.Health.Max,Added,68
EarthPandant_High_Main,EarthPandant_High,Stat.Defense.Armor,Added,61
EarthPandant_High_Sub,EarthPandant_High,Stat.Resource.Health.Max,Added,202
EarthEarring_High_Main,EarthEarring_High,Stat.Defense.Armor,Added,76
EarthEarring_High_Sub,EarthEarring_High,Stat.Resource.Health.Max,Added,135
WindRing_Low_Main,WindRing_Low,Stat.Offense.Damage.Physical,Added,12
WindRing_Low_Sub,WindRing_Low,Stat.Offense.CritChance,Added,0.005
WindPandant_Low_Main,WindPandant_Low,Stat.Offense.Damage.Physical,Added,8
WindPandant_Low_Sub,WindPandant_Low,Stat.Offense.CritChance,Added,0.015
WindEarring_Low_Main,WindEarring_Low,Stat.Offense.Damage.Physical,Added,10
WindEarring_Low_Sub,WindEarring_Low,Stat.Offense.CritChance,Added,0.01
WindRing_Mid_Main,WindRing_Mid,Stat.Offense.Damage.Physical,Added,36
WindRing_Mid_Sub,WindRing_Mid,Stat.Offense.CritChance,Added,0.008
WindPandant_Mid_Main,WindPandant_Mid,Stat.Offense.Damage.Physical,Added,24
WindPandant_Mid_Sub,WindPandant_Mid,Stat.Offense.CritChance,Added,0.024
WindEarring_Mid_Main,WindEarring_Mid,Stat.Offense.Damage.Physical,Added,30
WindEarring_Mid_Sub,WindEarring_Mid,Stat.Offense.CritChance,Added,0.016
WindRing_High_Main,WindRing_High,Stat.Offense.Damage.Physical,Added,54
WindRing_High_Sub,WindRing_High,Stat.Offense.CritChance,Added,0.01
WindPandant_High_Main,WindPandant_High,Stat.Offense.Damage.Physical,Added,36
WindPandant_High_Sub,WindPandant_High,Stat.Offense.CritChance,Added,0.03
WindEarring_High_Main,WindEarring_High,Stat.Offense.Damage.Physical,Added,45
WindEarring_High_Sub,WindEarring_High,Stat.Offense.CritChance,Added,0.02
DarkRing_Main,DarkRing,Stat.Offense.Damage,Increased,0.04
DarkRing_Sub,DarkRing,Stat.Resource.Health.Max,Added,135
DarkPandant_Main,DarkPandant,Stat.Offense.Damage,Increased,0.05
DarkPandant_Sub,DarkPandant,Stat.Resource.Health.Max,Added,202
DarkEarring_Main,DarkEarring,Stat.Offense.Damage,Increased,0.06
DarkEarring_Sub,DarkEarring,Stat.Resource.Health.Max,Added,248
