Name,PoolId,Rarity,OptionId,Weight
Lv01_Common_Hp,Pool_Lv01,Item.Rarity.Common,Opt_Lv01_Hp_Common,100
Lv01_Common_Mp,Pool_Lv01,Item.Rarity.Common,Opt_Lv01_Mp_Common,100
Lv01_Common_Armor,Pool_Lv01,Item.Rarity.Common,Opt_Lv01_Armor_Common,80
Lv01_Common_Phys,Pool_Lv01,Item.Rarity.Common,Opt_Lv01_Phys_Common,60
Lv01_Common_Magic,Pool_Lv01,Item.Rarity.Common,Opt_Lv01_Magic_Common,60
Lv01_Rare_Hp,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_Hp_Rare,100
Lv01_Rare_Armor,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_Armor_Rare,80
Lv01_Rare_HpRegen,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_HpRegen_Rare,50
Lv01_Rare_HpPct,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_HpPct_Rare,50
Lv01_Rare_PhysPct,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_PhysPct_Rare,40
Lv01_Rare_MagicPct,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_MagicPct_Rare,40
Lv01_Rare_Move,Pool_Lv01,Item.Rarity.Rare,Opt_Lv01_Move_Rare,25
Lv01_Epic_HpPct,Pool_Lv01,Item.Rarity.Epic,Opt_Lv01_HpPct_Epic,50
Lv01_Epic_PhysPct,Pool_Lv01,Item.Rarity.Epic,Opt_Lv01_PhysPct_Epic,40
Lv01_Epic_MagicPct,Pool_Lv01,Item.Rarity.Epic,Opt_Lv01_MagicPct_Epic,40
Lv01_Epic_Crit,Pool_Lv01,Item.Rarity.Epic,Opt_Lv01_Crit_Epic,30
Lv01_Epic_ArmorPen,Pool_Lv01,Item.Rarity.Epic,Opt_Lv01_ArmorPen_Epic,30
Lv01_Epic_MpRegen,Pool_Lv01,Item.Rarity.Epic,Opt_Lv01_MpRegen_Epic,50
Lv01_Legendary_HpPct,Pool_Lv01,Item.Rarity.Legendary,Opt_Lv01_HpPct_Legendary,50
Lv01_Legendary_PhysPct,Pool_Lv01,Item.Rarity.Legendary,Opt_Lv01_PhysPct_Legendary,40
Lv01_Legendary_MagicPct,Pool_Lv01,Item.Rarity.Legendary,Opt_Lv01_MagicPct_Legendary,40
Lv01_Legendary_Crit,Pool_Lv01,Item.Rarity.Legendary,Opt_Lv01_Crit_Legendary,30
Lv01_Legendary_ArmorPen,Pool_Lv01,Item.Rarity.Legendary,Opt_Lv01_ArmorPen_Legendary,30
