Name,SkillId,EffectTag,BaseValue,ValuePerLevel,TargetTeam,Duration,StatTag,Op
Warrior_Blade_Dmg,Warrior_Blade,Skill.Effect.Damage,1.2,0.075,Enemy,0,,Added
Warrior_Cyclone_Dmg,Warrior_Cyclone,Skill.Effect.Damage,10,0.625,Enemy,0,,Added
Archer_Pierce_Dmg,Archer_Pierce,Skill.Effect.Damage,1.2,0.075,Enemy,0,,Added
Archer_Volley_Dmg,Archer_Volley,Skill.Effect.Damage,3.2,0.2,Enemy,0,,Added
Archer_Storm_Dmg,Archer_Storm,Skill.Effect.Damage,10,0.625,Enemy,0,,Added
Mage_Field_Dmg,Mage_Field,Skill.Effect.Damage,1.2,0.075,Enemy,0,,Added
Mage_Storm_Dmg,Mage_Storm,Skill.Effect.Damage,0.32,0.02,Enemy,0,,Added
Warrior_Guard_Invuln,Warrior_Guard,Skill.Effect.Invulnerable,0,0,Ally,1,,Added
Warrior_Guard_Heal,Warrior_Guard,Skill.Effect.Heal,60,18.333333,Ally,0,,Added
Mage_Field_Heal,Mage_Field,Skill.Effect.Heal,50,14.583333,Ally,0,,Added
Mage_Rally_Phys,Mage_Rally,Skill.Effect.Buff,0.08,0.009167,Ally,5,Stat.Offense.Damage.Physical,Increased
Mage_Rally_Magic,Mage_Rally,Skill.Effect.Buff,0.08,0.009167,Ally,5,Stat.Offense.Damage.Magical,Increased
