Name,SkillId,StatTag,Op,BaseValue,ValuePerLevel
Warrior_Endure_Regen,Warrior_Endure,Stat.Resource.Health.Regen,Added,10,2.083333
Warrior_Endure_DamageReduction,Warrior_Endure,Stat.Defense.DamageReduction,Added,0.004,0.004
Warrior_Fortress_Max,Warrior_Fortress,Stat.Resource.Health.Max,Increased,0.005,0.005
Warrior_Fortress_Armor,Warrior_Fortress,Stat.Defense.Armor,Increased,0.005,0.005
Warrior_Might_Physical,Warrior_Might,Stat.Offense.Damage.Physical,Increased,0.01,0.01
Warrior_Might_ArmorPenetration,Warrior_Might,Stat.Offense.ArmorPenetration,Added,0.002,0.002
Archer_Focus_CritChance,Archer_Focus,Stat.Offense.CritChance,Added,0.01,0.01
Archer_Focus_Physical,Archer_Focus,Stat.Offense.Damage.Physical,Added,4,4
Archer_Hunter_BossDamage,Archer_Hunter,Stat.Offense.BossDamage,Added,0.008,0.008
Archer_Hunter_CritChance,Archer_Hunter,Stat.Offense.CritChance,Added,0.004,0.004
Archer_Precision_Physical,Archer_Precision,Stat.Offense.Damage.Physical,Increased,0.01,0.01
Archer_Precision_CritDamage,Archer_Precision,Stat.Offense.CritDamage,Added,0.006,0.006
Mage_Flow_Regen,Mage_Flow,Stat.Resource.Mana.Regen,Added,10,2.083333
Mage_Flow_MoveSpeed,Mage_Flow,Stat.Utility.MoveSpeed,Increased,0.002,0.002
Mage_Amplify_Magical,Mage_Amplify,Stat.Offense.Damage.Magical,Increased,0.05,0.00625
Mage_Insight_Magical,Mage_Insight,Stat.Offense.Damage.Magical,Increased,0.01,0.01
Mage_Insight_CooldownRecoveryRate,Mage_Insight,Stat.Utility.CooldownRecoveryRate,Added,0.0008,0.0008
